frequency:    0.250000 Hz
start time    31288 ms
stop time     71288 ms
Sample Prd    2 ms
Number Cylces 10 
N_sample,fluidInVoltage,fluidOutVoltage,pressureCommanded,pressureError,pressure
1,0,250,91.02,-197.98,289
2,0,250,91.01,-197.99,289
3,0,250,91.01,-198.99,290
4,0,250,91.00,-202.00,293
5,0,250,91.00,-200.00,291
6,0,250,91.00,-201.00,292
7,0,250,91.00,-201.00,292
8,0,250,91.01,-193.99,285
9,0,250,91.01,-194.99,286
10,0,250,91.02,-193.98,285
11,0,250,91.03,-196.97,288
12,0,250,91.04,-192.96,284
13,0,250,91.05,-192.95,284
14,0,250,91.07,-191.93,283
15,0,250,91.09,-190.91,282
16,0,250,91.11,-190.89,282
17,0,250,91.13,-192.87,284
18,0,250,91.15,-187.85,279
19,0,250,91.18,-189.82,281
20,0,250,91.20,-186.80,278
21,0,250,91.23,-185.77,277
22,0,250,91.26,-188.74,280
23,0,250,91.30,-185.70,277
24,0,250,91.33,-184.67,276
25,0,250,91.37,-182.63,274
26,0,250,91.41,-184.59,276
27,0,250,91.45,-185.55,277
28,0,250,91.49,-180.51,272
29,0,250,91.54,-181.46,273
30,0,250,91.58,-183.42,275
31,0,250,91.63,-180.37,272
32,0,250,91.68,-179.32,271
33,0,250,91.74,-177.26,269
34,0,250,91.79,-176.21,268
35,0,250,91.85,-170.15,262
36,0,250,91.91,-170.09,262
37,0,250,91.97,-171.03,263
38,0,250,92.03,-168.97,261
39,0,250,92.10,-165.90,258
40,0,250,92.16,-168.84,261
41,0,250,92.23,-167.77,260
42,0,250,92.30,-165.70,258
43,0,250,92.37,-164.63,257
44,0,250,92.45,-163.55,256
45,0,250,92.53,-161.47,254
46,0,250,92.60,-160.40,253
47,0,250,92.68,-157.32,250
48,0,250,92.77,-157.23,250
49,0,250,92.85,-161.15,254
50,0,250,92.94,-157.06,250
51,0,250,93.03,-155.97,249
52,0,250,93.12,-158.88,252
53,0,250,93.21,-156.79,250
54,0,250,93.30,-155.70,249
55,0,250,93.40,-154.60,248
56,0,250,93.50,-152.50,246
57,0,250,93.60,-153.40,247
58,0,250,93.70,-151.30,245
59,0,250,93.80,-149.20,243
60,0,250,93.91,-150.09,244
61,0,250,94.01,-146.99,241
62,0,250,94.12,-148.88,243
63,0,250,94.24,-148.76,243
64,0,250,94.35,-147.65,242
65,0,250,94.47,-145.53,240
66,0,250,94.58,-145.42,240
67,0,250,94.70,-138.30,233
68,0,250,94.82,-145.18,240
69,0,250,94.95,-144.05,239
70,0,250,95.07,-139.93,235
71,0,250,95.20,-135.80,231
72,0,250,95.33,-137.67,233
73,0,250,95.46,-132.54,228
74,0,250,95.59,-132.41,228
75,0,250,95.73,-130.27,226
76,0,250,95.86,-133.14,229
77,0,250,96.00,-130.00,226
78,0,250,96.14,-130.86,227
79,0,250,96.29,-130.71,227
80,0,250,96.43,-127.57,224
81,0,250,96.58,-126.42,223
82,0,250,96.72,-126.28,223
83,0,250,96.87,-127.13,224
84,0,250,97.03,-126.97,224
85,0,250,97.18,-122.82,220
86,0,250,97.34,-123.66,221
87,0,250,97.49,-126.51,224
88,0,250,97.65,-124.35,222
89,0,250,97.82,-121.18,219
90,0,250,97.98,-121.02,219
91,0,250,98.14,-117.86,216
92,0,250,98.31,-119.69,218
93,0,250,98.48,-119.52,218
94,0,250,98.65,-119.35,218
95,0,250,98.83,-120.17,219
96,0,250,99.00,-120.00,219
97,0,250,99.18,-120.82,220
98,0,250,99.36,-118.64,218
99,0,250,99.54,-117.46,217
100,0,250,99.72,-117.28,217
101,0,250,99.90,-116.10,216
102,0,250,100.09,-113.91,214
103,0,250,100.28,-112.72,213
104,0,250,100.47,-113.53,214
105,0,250,100.66,-110.34,211
106,0,250,100.85,-113.15,214
107,0,250,101.05,-110.95,212
108,0,250,101.25,-109.75,211
109,0,250,101.45,-110.55,212
110,0,250,101.65,-107.35,209
111,0,250,101.85,-107.15,209
112,0,250,102.06,-108.94,211
113,0,250,102.26,-104.74,207
114,0,250,102.47,-104.53,207
115,0,250,102.68,-105.32,208
116,0,250,102.90,-97.10,200
117,0,250,103.11,-97.89,201
118,0,250,103.33,-96.67,200
119,0,250,103.55,-99.45,203
120,0,250,103.77,-94.23,198
121,0,250,103.99,-90.01,194
122,0,250,104.21,-93.79,198
123,0,250,104.44,-90.56,195
124,0,250,104.66,-92.34,197
125,0,250,104.89,-89.11,194
126,0,250,105.12,-89.88,195
127,0,250,105.36,-88.64,194
128,0,250,105.59,-89.41,195
129,0,250,105.83,-87.17,193
130,0,250,106.07,-83.93,190
131,0,250,106.31,-86.69,193
132,0,250,106.55,-87.45,194
133,0,250,106.79,-81.21,188
134,0,250,107.04,-83.96,191
135,0,250,107.28,-81.72,189
136,0,250,107.53,-82.47,190
137,0,250,107.79,-81.21,189
138,0,250,108.04,-79.96,188
139,0,250,108.29,-79.71,188
140,0,250,108.55,-76.45,185
141,0,250,108.81,-77.19,186
142,0,250,109.07,-75.93,185
143,0,250,109.33,-72.67,182
144,0,250,109.59,-74.41,184
145,0,250,109.86,-74.14,184
146,0,250,110.13,-72.87,183
147,0,250,110.40,-71.60,182
148,0,250,110.67,-72.33,183
149,0,250,110.94,-71.06,182
150,0,250,111.21,-68.79,180
151,0,250,111.49,-69.51,181
152,0,250,111.77,-68.23,180
153,0,250,112.05,-66.95,179
154,0,250,112.33,-65.67,178
155,0,250,112.61,-67.39,180
156,0,250,112.90,-66.10,179
157,0,250,113.18,-63.82,177
158,0,250,113.47,-63.53,177
159,0,250,113.76,-59.24,173
160,0,250,114.05,-64.95,179
161,0,250,114.35,-60.65,175
162,0,250,114.64,-63.36,178
163,0,250,114.94,-58.06,173
164,0,250,115.24,-59.76,175
165,0,250,115.54,-55.46,171
166,0,250,115.84,-55.16,171
167,0,250,116.15,-49.85,166
168,0,250,116.45,-49.55,166
169,0,250,116.76,-48.24,165
170,0,250,117.07,-48.93,166
171,0,250,117.38,-49.62,167
172,0,250,117.69,-43.31,161
173,0,250,118.01,-45.99,164
174,0,250,118.32,-44.68,163
175,0,250,118.64,-44.36,163
176,0,250,118.96,-45.04,164
177,0,250,119.28,-45.72,165
178,0,250,119.61,-40.39,160
179,0,250,119.93,-42.07,162
180,0,250,120.26,-41.74,162
181,0,250,120.58,-42.42,163
182,0,250,120.91,-39.09,160
183,0,250,121.25,-39.75,161
184,0,250,121.58,-38.42,160
185,0,250,121.91,-37.09,159
186,0,250,122.25,-38.75,161
187,0,250,122.59,-36.41,159
188,0,250,122.93,-36.07,159
189,0,250,123.27,-33.73,157
190,0,250,123.61,-32.39,156
191,0,250,123.96,-32.04,156
192,0,250,124.30,-32.70,157
193,0,250,124.65,-30.35,155
194,0,250,125.00,-31.00,156
195,0,250,125.35,-28.65,154
196,0,250,125.70,-29.30,155
197,0,250,126.06,-29.94,156
198,0,250,126.42,-29.58,156
199,0,250,126.77,-27.23,154
200,0,250,127.13,-27.87,155
201,0,250,127.49,-26.51,154
202,0,250,127.86,-28.14,156
203,0,250,128.22,-26.78,155
204,0,234,128.59,-23.41,152
205,0,240,128.95,-24.05,153
206,0,226,129.32,-22.68,152
207,0,243,129.69,-24.31,154
208,0,209,130.07,-20.93,151
209,0,205,130.44,-20.56,151
210,0,201,130.82,-20.18,151
211,0,188,131.19,-18.81,150
212,0,184,131.57,-18.43,150
213,0,170,131.95,-17.05,149
214,0,136,132.33,-13.67,146
215,0,142,132.72,-14.28,147
216,0,148,133.10,-14.90,148
217,0,155,133.49,-15.51,149
218,0,111,133.88,-11.12,145
219,0,127,134.26,-12.74,147
220,0,113,134.66,-11.34,146
221,0,129,135.05,-12.95,148
222,0,115,135.44,-11.56,147
223,0,71,135.84,-7.16,143
224,0,97,136.24,-9.76,146
225,0,83,136.63,-8.37,145
226,0,99,137.03,-9.97,147
227,0,75,137.44,-7.56,145
228,0,91,137.84,-9.16,147
229,0,87,138.24,-8.76,147
230,0,33,138.65,-3.35,142
231,0,69,139.06,-6.94,146
232,0,55,139.47,-5.53,145
233,0,61,139.88,-6.12,146
234,0,67,140.29,-6.71,147
235,0,22,140.71,-2.29,143
236,0,58,141.12,-5.88,147
237,0,54,141.54,-5.46,147
238,0,40,141.96,-4.04,146
239,0,56,142.38,-5.62,148
240,0,32,142.80,-3.20,146
241,0,27,143.22,-2.78,146
242,0,3,143.64,-0.36,144
243,0,29,144.07,-2.93,147
244,0,15,144.50,-1.50,146
245,0,30,144.92,-3.08,148
246,3,0,145.35,0.35,145
247,0,22,145.79,-2.21,148
248,12,0,146.22,1.22,145
249,16,0,146.65,1.65,145
