frequency:    0.250000 Hz
start time    143128 ms
stop time     183128 ms
Sample Prd    2 ms
Number Cylces 10 
N_sample,fluidInVoltage,fluidOutVoltage,pressureCommanded,pressureError,pressure
1,0,250,97.80,-272.20,370
2,0,250,97.64,-272.36,370
3,0,250,97.48,-270.52,368
4,0,250,97.32,-270.68,368
5,0,250,97.17,-268.83,366
6,0,250,97.02,-264.98,362
7,0,250,96.86,-268.14,365
8,0,250,96.71,-268.29,365
9,0,250,96.56,-261.44,358
10,0,250,96.42,-261.58,358
11,0,250,96.27,-262.73,359
12,0,250,96.13,-262.87,359
13,0,250,95.99,-258.01,354
14,0,250,95.85,-257.15,353
15,0,250,95.72,-256.28,352
16,0,250,95.58,-254.42,350
17,0,250,95.45,-255.55,351
18,0,250,95.32,-253.68,349
19,0,250,95.19,-253.81,349
20,0,250,95.06,-250.94,346
21,0,250,94.94,-252.06,347
22,0,250,94.81,-251.19,346
23,0,250,94.69,-250.31,345
24,0,250,94.57,-248.43,343
25,0,250,94.46,-248.54,343
26,0,250,94.34,-248.66,343
27,0,250,94.23,-245.77,340
28,0,250,94.12,-245.88,340
29,0,250,94.01,-243.99,338
30,0,250,93.90,-245.10,339
31,0,250,93.79,-243.21,337
32,0,250,93.69,-243.31,337
33,0,250,93.59,-236.41,330
34,0,250,93.49,-238.51,332
35,0,250,93.39,-233.61,327
36,0,250,93.29,-233.71,327
37,0,250,93.20,-234.80,328
38,0,250,93.11,-228.89,322
39,0,250,93.02,-228.98,322
40,0,250,92.93,-231.07,324
41,0,250,92.84,-228.16,321
42,0,250,92.76,-227.24,320
43,0,250,92.68,-225.32,318
44,0,250,92.60,-225.40,318
45,0,250,92.52,-222.48,315
46,0,250,92.44,-224.56,317
47,0,250,92.37,-222.63,315
48,0,250,92.30,-221.70,314
49,0,250,92.23,-218.77,311
50,0,250,92.16,-221.84,314
51,0,250,92.09,-217.91,310
52,0,250,92.03,-217.97,310
53,0,250,91.96,-215.04,307
54,0,250,91.90,-217.10,309
55,0,250,91.84,-216.16,308
56,0,250,91.79,-214.21,306
57,0,250,91.73,-206.27,298
58,0,250,91.68,-214.32,306
59,0,250,91.63,-211.37,303
60,0,250,91.58,-210.42,302
61,0,250,91.53,-209.47,301
62,0,250,91.49,-203.51,295
63,0,250,91.45,-210.55,302
64,0,250,91.41,-207.59,299
65,0,250,91.37,-205.63,297
66,0,250,91.33,-199.67,291
67,0,250,91.29,-199.71,291
68,0,250,91.26,-198.74,290
69,0,250,91.23,-198.77,290
70,0,250,91.20,-196.80,288
71,0,250,91.17,-195.83,287
72,0,250,91.15,-196.85,288
73,0,250,91.13,-195.87,287
74,0,250,91.10,-193.90,285
75,0,250,91.08,-192.92,284
76,0,250,91.07,-195.93,287
77,0,250,91.05,-192.95,284
78,0,250,91.04,-190.96,282
79,0,250,91.03,-190.97,282
80,0,250,91.02,-188.98,280
81,0,250,91.01,-190.99,282
82,0,250,91.01,-186.99,278
83,0,250,91.00,-186.00,277
84,0,250,91.00,-189.00,280
85,0,250,91.00,-188.00,279
86,0,250,91.00,-188.00,279
87,0,250,91.01,-187.99,279
88,0,250,91.01,-186.99,278
89,0,250,91.02,-187.98,279
90,0,250,91.03,-185.97,277
91,0,250,91.04,-185.96,277
92,0,250,91.06,-181.94,273
93,0,250,91.08,-180.92,272
94,0,250,91.09,-174.91,266
95,0,250,91.11,-179.89,271
96,0,250,91.14,-179.86,271
97,0,250,91.16,-179.84,271
98,0,250,91.19,-178.81,270
99,0,250,91.21,-171.79,263
100,0,250,91.24,-170.76,262
101,0,250,91.28,-168.72,260
102,0,250,91.31,-168.69,260
103,0,250,91.35,-168.65,260
104,0,250,91.38,-169.62,261
105,0,250,91.42,-167.58,259
106,0,250,91.47,-166.53,258
107,0,250,91.51,-166.49,258
108,0,250,91.56,-168.44,260
109,0,250,91.60,-164.40,256
110,0,250,91.65,-161.35,253
111,0,250,91.71,-161.29,253
112,0,250,91.76,-162.24,254
113,0,250,91.81,-160.19,252
114,0,250,91.87,-159.13,251
115,0,250,91.93,-159.07,251
116,0,250,91.99,-158.01,250
117,0,250,92.06,-159.94,252
118,0,250,92.12,-157.88,250
119,0,250,92.19,-155.81,248
120,0,250,92.26,-153.74,246
121,0,250,92.33,-156.67,249
122,0,250,92.40,-152.60,245
123,0,250,92.48,-154.52,247
124,0,250,92.56,-152.44,245
125,0,250,92.64,-151.36,244
126,0,250,92.72,-147.28,240
127,0,250,92.80,-149.20,242
128,0,250,92.89,-147.11,240
129,0,250,92.97,-148.03,241
130,0,250,93.06,-148.94,242
131,0,250,93.15,-148.85,242
132,0,250,93.25,-142.75,236
133,0,250,93.34,-138.66,232
134,0,250,93.44,-140.56,234
135,0,250,93.54,-147.46,241
136,0,250,93.64,-139.36,233
137,0,250,93.74,-136.26,230
138,0,250,93.84,-135.16,229
139,0,250,93.95,-135.05,229
140,0,250,94.06,-134.94,229
141,0,250,94.17,-132.83,227
142,0,250,94.28,-132.72,227
143,0,250,94.40,-134.60,229
144,0,250,94.51,-131.49,226
145,0,250,94.63,-131.37,226
146,0,250,94.75,-131.25,226
147,0,250,94.87,-132.13,227
148,0,250,95.00,-127.00,222
149,0,250,95.12,-129.88,225
150,0,250,95.25,-125.75,221
151,0,250,95.38,-126.62,222
152,0,250,95.51,-126.49,222
153,0,250,95.65,-128.35,224
154,0,250,95.78,-123.22,219
155,0,250,95.92,-123.08,219
156,0,250,96.06,-122.94,219
157,0,250,96.20,-121.80,218
158,0,250,96.34,-122.66,219
159,0,250,96.49,-121.51,218
160,0,250,96.63,-121.37,218
161,0,250,96.78,-121.22,218
162,0,250,96.94,-118.06,215
163,0,250,97.09,-120.91,218
164,0,250,97.24,-119.76,217
165,0,250,97.40,-118.60,216
166,0,250,97.56,-118.44,216
167,0,250,97.72,-118.28,216
168,0,250,97.88,-115.12,213
169,0,250,98.05,-114.95,213
170,0,250,98.21,-114.79,213
171,0,250,98.38,-115.62,214
172,0,250,98.55,-113.45,212
173,0,250,98.72,-110.28,209
174,0,250,98.90,-109.10,208
175,0,250,99.07,-108.93,208
176,0,250,99.25,-109.75,209
177,0,250,99.43,-110.57,210
178,0,250,99.61,-108.39,208
179,0,250,99.79,-100.21,200
180,0,250,99.98,-104.02,204
181,0,250,100.17,-99.83,200
182,0,250,100.35,-100.65,201
183,0,250,100.55,-98.45,199
184,0,250,100.74,-96.26,197
185,0,250,100.93,-96.07,197
186,0,250,101.13,-94.87,196
187,0,250,101.33,-96.67,198
188,0,250,101.53,-93.47,195
189,0,250,101.73,-94.27,196
190,0,250,101.93,-95.07,197
191,0,250,102.14,-89.86,192
192,0,250,102.35,-89.65,192
193,0,250,102.56,-90.44,193
194,0,250,102.77,-90.23,193
195,0,250,102.98,-87.02,190
196,0,250,103.20,-85.80,189
197,0,250,103.41,-85.59,189
198,0,250,103.63,-86.37,190
199,0,250,103.85,-84.15,188
200,0,250,104.08,-84.92,189
201,0,250,104.30,-82.70,187
202,0,250,104.53,-82.47,187
203,0,250,104.75,-82.25,187
204,0,250,104.98,-81.02,186
205,0,250,105.22,-81.78,187
206,0,250,105.45,-78.55,184
207,0,250,105.69,-78.31,184
208,0,250,105.92,-77.08,183
209,0,250,106.16,-75.84,182
210,0,250,106.40,-76.60,183
211,0,250,106.65,-74.35,181
212,0,250,106.89,-75.11,182
213,0,250,107.14,-72.86,180
214,0,250,107.38,-69.62,177
215,0,250,107.63,-70.37,178
216,0,250,107.89,-67.11,175
217,0,250,108.14,-66.86,175
218,0,250,108.40,-66.60,175
219,0,250,108.65,-67.35,176
220,0,250,108.91,-63.09,172
221,0,250,109.17,-61.83,171
222,0,250,109.43,-61.57,171
223,0,250,109.70,-59.30,169
224,0,250,109.97,-60.03,170
225,0,250,110.23,-56.77,167
226,0,250,110.50,-57.50,168
227,0,250,110.77,-57.23,168
228,0,250,111.05,-52.95,164
229,0,250,111.32,-53.68,165
230,0,250,111.60,-52.40,164
231,0,250,111.88,-50.12,162
232,0,250,112.16,-50.84,163
233,0,250,112.44,-49.56,162
234,0,250,112.72,-48.28,161
235,0,250,113.01,-48.99,162
236,0,250,113.30,-49.70,163
237,0,250,113.59,-46.41,160
238,0,250,113.88,-48.12,162
239,0,250,114.17,-46.83,161
240,0,250,114.47,-45.53,160
241,0,250,114.76,-44.24,159
242,0,250,115.06,-44.94,160
243,0,250,115.36,-44.64,160
244,0,250,115.66,-42.34,158
245,0,250,115.96,-44.04,160
246,0,250,116.27,-43.73,160
247,0,250,116.58,-40.42,157
248,0,250,116.88,-39.12,156
249,0,250,117.19,-40.81,158
250,0,250,117.51,-38.49,156
251,0,250,117.82,-39.18,157
252,0,250,118.13,-37.87,156
253,0,250,118.45,-37.55,156
254,0,250,118.77,-33.23,152
255,0,250,119.09,-36.91,156
256,0,250,119.41,-32.59,152
257,0,250,119.73,-32.27,152
258,0,250,120.06,-32.94,153
259,0,250,120.39,-32.61,153
260,0,250,120.72,-30.28,151
261,0,250,121.05,-28.95,150
262,0,250,121.38,-28.62,150
263,0,250,121.71,-28.29,150
264,0,250,122.05,-27.95,150
265,0,250,122.38,-27.62,150
266,0,250,122.72,-27.28,150
267,0,250,123.06,-27.94,151
268,0,235,123.41,-23.59,147
269,0,242,123.75,-24.25,148
270,0,219,124.09,-21.91,146
271,0,215,124.44,-21.56,146
272,0,202,124.79,-20.21,145
273,0,198,125.14,-19.86,145
274,0,235,125.49,-23.51,149
275,0,201,125.85,-20.15,146
276,0,137,126.20,-13.80,140
277,0,174,126.56,-17.44,144
278,0,120,126.92,-12.08,139
279,0,97,127.28,-9.72,137
280,0,123,127.64,-12.36,140
281,0,89,128.00,-9.00,137
282,0,96,128.37,-9.63,138
283,0,92,128.73,-9.27,138
284,0,88,129.10,-8.90,138
285,0,105,129.47,-10.53,140
286,0,91,129.84,-9.16,139
287,0,77,130.22,-7.78,138
288,0,64,130.59,-6.41,137
