-----NEW TEST-------
frequency:    2.388900 Hz
start time    246103 ms
stop time     250289 ms
Sample Prd    2 ms
Number Cylces 10 
N_sample,fluidInVoltage,fluidOutVoltage,pressureCommanded,pressureError,pressure
1,250,0,482.96,177.96,305
2,250,0,484.56,178.56,306
3,250,0,485.99,177.99,308
4,250,0,487.23,176.23,311
5,250,0,488.30,175.30,313
6,250,0,489.20,175.20,314
7,250,0,489.91,173.91,316
8,250,0,490.45,175.45,315
9,250,0,490.80,174.80,316
10,250,0,490.98,171.98,319
11,250,0,490.98,168.98,322
12,250,0,490.79,165.79,325
13,250,0,490.43,168.43,322
14,250,0,489.88,163.88,326
15,250,0,489.16,156.16,333
16,250,0,488.26,156.26,332
17,250,0,487.18,158.18,329
18,250,0,485.92,150.92,335
19,250,0,484.49,149.49,335
20,250,0,482.88,142.88,340
21,250,0,481.10,142.10,339
22,250,0,479.15,139.15,340
23,250,0,477.03,134.03,343
24,250,0,474.74,129.74,345
25,250,0,472.29,130.29,342
26,250,0,469.67,122.67,347
27,250,0,466.89,122.89,344
28,250,0,463.95,118.95,345
29,250,0,460.86,110.86,350
30,250,0,457.62,108.62,349
31,250,0,454.22,106.22,348
32,250,0,450.68,99.68,351
33,250,0,446.99,96.99,350
34,250,0,443.16,92.16,351
35,250,0,439.20,85.20,354
36,250,0,435.10,80.10,355
37,250,0,430.87,75.87,355
38,250,0,426.52,67.52,359
39,250,0,422.04,59.04,363
40,250,0,417.45,57.45,360
41,250,0,412.74,47.74,365
42,250,0,407.92,40.92,367
43,250,0,403.00,35.00,368
44,250,0,397.98,26.98,371
45,248,0,392.86,24.86,368
46,156,0,387.65,15.65,372
47,103,0,382.35,10.35,372
48,29,0,376.96,2.96,374
49,0,14,371.51,-1.49,373
50,0,70,365.97,-7.03,373
51,0,166,360.37,-16.63,377
52,0,172,354.71,-17.29,372
53,0,250,348.99,-25.01,374
54,0,250,343.22,-31.78,375
55,0,250,337.40,-38.60,376
56,0,250,331.54,-40.46,372
57,0,250,325.65,-43.35,369
58,0,250,319.72,-45.28,365
59,0,250,313.77,-55.23,369
60,0,250,307.79,-59.21,367
61,0,250,301.80,-60.20,362
62,0,250,295.80,-64.20,360
63,0,250,289.80,-68.20,358
64,0,250,283.80,-72.20,356
65,0,250,277.80,-78.20,356
66,0,250,271.82,-83.18,355
67,0,250,265.85,-86.15,352
68,0,250,259.91,-90.09,350
69,0,250,253.99,-95.01,349
70,0,250,248.11,-100.89,349
71,0,250,242.26,-104.74,347
72,0,250,236.46,-109.54,346
73,0,250,230.71,-115.29,346
74,0,250,225.02,-118.98,344
75,0,250,219.38,-123.62,343
76,0,250,213.81,-130.19,344
77,0,250,208.30,-131.70,340
78,0,250,202.87,-138.13,341
79,0,250,197.52,-145.48,343
80,0,250,192.26,-148.74,341
81,0,250,187.08,-152.92,340
82,0,250,182.00,-156.00,338
83,0,250,177.02,-160.98,338
84,0,250,172.14,-163.86,336
85,0,250,167.36,-166.64,334
86,0,250,162.70,-169.30,332
87,0,250,158.15,-171.85,330
88,0,250,153.72,-180.28,334
89,0,250,149.42,-177.58,327
90,0,250,145.24,-182.76,328
91,0,250,141.20,-181.80,323
92,0,250,137.29,-183.71,321
93,0,250,133.52,-189.48,323
94,0,250,129.89,-191.11,321
95,0,250,126.40,-191.60,318
96,0,250,123.07,-197.93,321
97,0,250,119.88,-199.12,319
98,0,250,116.85,-198.15,315
99,0,250,113.98,-201.02,315
100,0,250,111.26,-202.74,314
101,0,250,108.71,-205.29,314
102,0,250,106.32,-206.68,313
103,0,250,104.10,-209.90,314
104,0,250,102.05,-207.95,310
105,0,250,100.17,-212.83,313
106,0,250,98.46,-208.54,307
107,0,250,96.92,-211.08,308
108,0,250,95.56,-211.44,307
109,0,250,94.37,-211.63,306
110,0,250,93.36,-212.64,306
111,0,250,92.53,-213.47,306
112,0,250,91.88,-213.12,305
113,0,250,91.41,-211.59,303
114,0,250,91.11,-210.89,302
115,0,250,91.00,-212.00,303
116,0,250,91.07,-207.93,299
117,0,250,91.32,-203.68,295
118,0,250,91.74,-204.26,296
119,0,250,92.35,-202.65,295
120,0,250,93.14,-205.86,299
121,0,250,94.10,-199.90,294
122,0,250,95.24,-193.76,289
123,0,250,96.56,-193.44,290
124,0,250,98.06,-189.94,288
125,0,250,99.72,-189.28,289
126,0,250,101.56,-188.44,290
127,0,250,103.57,-184.43,288
128,0,250,105.75,-180.25,286
129,0,250,108.10,-180.90,289
130,0,250,110.61,-174.39,285
131,0,250,113.29,-173.71,287
132,0,250,116.12,-167.88,284
133,0,250,119.11,-162.89,282
134,0,250,122.26,-160.74,283
135,0,250,125.56,-158.44,284
136,0,250,129.00,-154.00,283
137,0,250,132.60,-149.40,282
138,0,250,136.33,-145.67,282
139,0,250,140.21,-137.79,278
140,0,250,144.22,-135.78,280
141,0,250,148.36,-129.64,278
142,0,250,152.64,-129.36,282
143,0,250,157.03,-122.97,280
144,0,250,161.55,-118.45,280
145,0,250,166.18,-113.82,280
146,0,250,170.93,-107.07,278
147,0,250,175.79,-102.21,278
148,0,250,180.75,-94.25,275
149,0,250,185.80,-88.20,274
150,0,250,190.96,-82.04,273
151,0,250,196.20,-79.80,276
152,0,250,201.53,-70.47,272
153,0,250,206.94,-66.06,273
154,0,250,212.42,-57.58,270
155,0,250,217.98,-53.02,271
156,0,250,223.60,-42.40,266
157,0,250,229.28,-36.72,266
158,0,250,235.02,-28.98,264
159,0,221,240.81,-22.19,263
160,0,223,246.64,-22.36,269
161,0,84,252.52,-8.48,261
162,0,35,258.42,-3.58,262
163,33,0,264.36,3.36,261
164,3,0,270.32,0.32,270
165,93,0,276.30,9.30,267
166,212,0,282.30,21.30,261
167,250,0,288.30,28.30,260
168,250,0,294.30,25.30,269
169,250,0,300.30,32.30,268
170,250,0,306.30,34.30,272
171,250,0,312.27,40.27,272
172,250,0,318.23,45.23,273
173,250,0,324.17,50.17,274
174,250,0,330.07,53.07,277
175,250,0,335.94,56.94,279
176,250,0,341.77,60.77,281
177,250,0,347.56,65.56,282
178,250,0,353.29,73.29,280
179,250,0,358.97,74.97,284
180,250,0,364.58,77.58,287
181,250,0,370.13,80.13,290
182,250,0,375.61,85.61,290
183,250,0,381.01,90.01,291
184,250,0,386.33,89.33,297
185,250,0,391.56,97.56,294
186,250,0,396.71,94.71,302
187,250,0,401.75,96.75,305
188,250,0,406.70,99.70,307
189,250,0,411.55,104.55,307
190,250,0,416.28,109.28,307
191,250,0,420.91,109.91,311
192,250,0,425.41,114.41,311
193,250,0,429.80,115.80,314
194,250,0,434.06,119.06,315
195,250,0,438.19,122.19,316
196,250,0,442.19,123.19,319
197,250,0,446.05,126.05,320
198,250,0,449.77,126.77,323
199,250,0,453.35,130.35,323
200,250,0,456.78,128.78,328
201,250,0,460.06,131.06,329
202,250,0,463.20,133.20,330
203,250,0,466.17,136.17,330
204,250,0,468.99,131.99,337
205,250,0,471.65,132.65,339
206,250,0,474.14,135.14,339
207,250,0,476.47,139.47,337
208,250,0,478.63,140.63,338
209,250,0,480.63,138.63,342
210,250,0,482.45,138.45,344
211,250,0,484.10,142.10,342
212,250,0,485.58,142.58,343
213,250,0,486.88,143.88,343
214,250,0,488.00,140.00,348
215,250,0,488.95,140.95,348
216,250,0,489.72,139.72,350
217,250,0,490.31,139.31,351
218,250,0,490.72,138.72,352
219,250,0,490.95,138.95,352
220,250,0,491.00,137.00,354
221,250,0,490.86,135.86,355
222,250,0,490.55,133.55,357
223,250,0,490.06,132.06,358
224,250,0,489.39,127.39,362
225,250,0,488.54,122.54,366
226,250,0,487.52,124.52,363
227,250,0,486.31,119.31,367
228,250,0,484.93,117.93,367
229,250,0,483.38,114.38,369
230,250,0,481.65,112.65,369
231,250,0,479.75,108.75,371
232,250,0,477.68,106.68,371
233,250,0,475.44,101.44,374
234,250,0,473.04,98.04,375
235,250,0,470.47,93.47,377
236,250,0,467.74,91.74,376
237,250,0,464.85,89.85,375
238,250,0,461.81,82.81,379
239,250,0,458.61,78.61,380
240,250,0,455.25,73.25,382
241,250,0,451.76,70.76,381
242,250,0,448.11,68.11,380
243,250,0,444.33,62.33,382
244,250,0,440.40,57.40,383
245,250,0,436.34,48.34,388
246,250,0,432.16,42.16,390
247,250,0,427.84,31.84,396
248,250,0,423.40,28.40,395
249,248,0,418.84,24.84,394
250,171,0,414.17,17.17,397
251,113,0,409.38,11.38,398
252,74,0,404.49,7.49,397
253,24,0,399.50,2.50,397
254,0,35,394.40,-3.60,398
255,0,87,389.22,-8.78,398
256,0,150,383.94,-15.06,399
257,0,184,378.59,-18.41,397
258,0,198,373.15,-19.85,393
259,0,250,367.64,-29.36,397
260,0,250,362.06,-34.94,397
261,0,250,356.42,-42.58,399
262,0,250,350.72,-40.28,391
263,0,250,344.96,-43.04,388
264,0,250,339.15,-48.85,388
265,0,250,333.31,-52.69,386
266,0,250,327.42,-56.58,384
267,0,250,321.50,-60.50,382
268,0,250,315.55,-63.45,379
269,0,250,309.59,-69.41,379
270,0,250,303.60,-74.40,378
271,0,250,297.60,-77.40,375
272,0,250,291.60,-83.40,375
273,0,250,285.60,-89.40,375
274,0,250,279.60,-92.40,372
275,0,250,273.61,-94.39,368
276,0,250,267.64,-100.36,368
277,0,250,261.69,-107.31,369
