-----NEW TEST-------
frequency:    3.000000 Hz
start time    256176 ms
stop time     259509 ms
Sample Prd    2 ms
Number Cylces 10 
N_sample,fluidInVoltage,fluidOutVoltage,pressureCommanded,pressureError,pressure
1,0,250,97.14,-277.86,375
2,0,250,95.42,-282.58,378
3,0,250,93.98,-279.02,373
4,0,250,92.83,-279.17,372
5,0,250,91.95,-279.05,371
6,0,250,91.36,-280.64,372
7,0,250,91.05,-278.95,370
8,0,250,91.02,-273.98,365
9,0,250,91.28,-272.72,364
10,0,250,91.83,-274.17,366
11,0,250,92.65,-272.35,365
12,0,250,93.76,-271.24,365
13,0,250,95.15,-264.85,360
14,0,250,96.82,-262.18,359
15,0,250,98.76,-257.24,356
16,0,250,100.98,-254.02,355
17,0,250,103.46,-250.54,354
18,0,250,106.22,-245.78,352
19,0,250,109.23,-242.77,352
20,0,250,112.50,-235.50,348
21,0,250,116.03,-232.97,349
22,0,250,119.81,-230.19,350
23,0,250,123.83,-224.17,348
24,0,250,128.08,-215.92,344
25,0,250,132.57,-212.43,345
26,0,250,137.29,-206.71,344
27,0,250,142.22,-200.78,343
28,0,250,147.36,-194.64,342
29,0,250,152.71,-189.29,342
30,0,250,158.26,-180.74,339
31,0,250,163.99,-179.01,343
32,0,250,169.90,-168.10,338
33,0,250,175.99,-164.01,340
34,0,250,182.24,-153.76,336
35,0,250,188.64,-145.36,334
36,0,250,195.19,-138.81,334
37,0,250,201.88,-126.12,328
38,0,250,208.69,-117.31,326
39,0,250,215.62,-109.38,325
40,0,250,222.65,-105.35,328
41,0,250,229.79,-96.21,326
42,0,250,237.01,-84.99,322
43,0,250,244.31,-77.69,322
44,0,250,251.67,-69.33,321
45,0,250,259.09,-58.91,318
46,0,250,266.55,-50.45,317
47,0,250,274.05,-45.95,320
48,0,250,281.58,-36.42,318
49,0,250,289.11,-26.89,316
50,0,173,296.65,-17.35,314
51,0,108,304.19,-10.81,315
52,0,3,311.70,-0.30,312
53,81,0,319.18,8.18,311
54,136,0,326.63,13.63,313
55,210,0,334.02,21.02,313
56,250,0,341.35,29.35,312
57,250,0,348.61,33.61,315
58,250,0,355.79,38.79,317
59,250,0,362.88,45.88,317
60,250,0,369.86,54.86,315
61,250,0,376.73,55.73,321
62,250,0,383.48,62.48,321
63,250,0,390.10,69.10,321
64,250,0,396.58,72.58,324
65,250,0,402.91,71.91,331
66,250,0,409.07,76.07,333
67,250,0,415.08,84.08,331
68,250,0,420.90,86.90,334
69,250,0,426.54,88.54,338
70,250,0,431.99,91.99,340
71,250,0,437.23,98.23,339
72,250,0,442.27,103.27,339
73,250,0,447.10,106.10,341
74,250,0,451.70,109.70,342
75,250,0,456.07,113.07,343
76,250,0,460.21,118.21,342
77,250,0,464.11,115.11,349
78,250,0,467.76,118.76,349
79,250,0,471.16,125.16,346
80,250,0,474.31,124.31,350
81,250,0,477.19,127.19,350
82,250,0,479.81,126.81,353
83,250,0,482.17,131.17,351
84,250,0,484.25,127.25,357
85,250,0,486.05,130.05,356
86,250,0,487.58,128.58,359
87,250,0,488.83,123.83,365
88,250,0,489.80,128.80,361
89,250,0,490.48,124.48,366
90,250,0,490.88,121.88,369
91,250,0,491.00,121.00,370
92,250,0,490.83,119.83,371
93,250,0,490.38,118.38,372
94,250,0,489.65,116.65,373
95,250,0,488.63,115.63,373
96,250,0,487.33,110.33,377
97,250,0,485.76,107.76,378
98,250,0,483.90,106.90,377
99,250,0,481.77,101.77,380
100,250,0,479.38,99.38,380
101,250,0,476.71,93.71,383
102,250,0,473.78,91.78,382
103,250,0,470.59,85.59,385
104,250,0,467.14,78.14,389
105,250,0,463.45,75.45,388
106,250,0,459.51,65.51,394
107,250,0,455.32,62.32,393
108,250,0,450.91,52.91,398
109,250,0,446.27,51.27,395
110,250,0,441.41,44.41,397
111,250,0,436.33,37.33,399
112,250,0,431.05,29.05,402
113,245,0,425.57,24.57,401
114,168,0,419.89,16.89,403
115,100,0,414.04,10.04,404
116,40,0,408.01,4.01,404
117,0,41,401.81,-4.19,406
118,0,95,395.46,-9.54,405
119,0,140,388.95,-14.05,403
120,0,236,382.31,-23.69,406
121,0,250,375.54,-28.46,404
122,0,250,368.65,-35.35,404
123,0,250,361.64,-41.36,403
124,0,250,354.54,-51.46,406
125,0,250,347.35,-54.65,402
126,0,250,340.07,-65.93,406
127,0,250,332.73,-72.27,405
128,0,250,325.33,-73.67,399
129,0,250,317.88,-83.12,401
130,0,250,310.39,-82.61,393
131,0,250,302.87,-95.13,398
132,0,250,295.34,-98.66,394
133,0,250,287.80,-108.20,396
134,0,250,280.26,-113.74,394
135,0,250,272.74,-117.26,390
136,0,250,265.25,-118.75,384
137,0,250,257.79,-126.21,384
138,0,250,250.38,-130.62,381
139,0,250,243.02,-139.98,383
140,0,250,235.74,-145.26,381
