-----NEW TEST-------
frequency:    2.694400 Hz
start time    139399 ms
stop time     143110 ms
Sample Prd    2 ms
Number Cylces 10 
N_sample,fluidInVoltage,fluidOutVoltage,pressureCommanded,pressureError,pressure
1,0,250,116.54,-248.46,365
2,0,250,119.95,-250.05,370
3,0,250,123.56,-247.44,371
4,0,250,127.36,-242.64,370
5,0,250,131.34,-230.66,362
6,0,250,135.51,-231.49,367
7,0,250,139.86,-231.14,371
8,0,250,144.38,-216.62,361
9,0,250,149.07,-212.93,362
10,0,250,153.92,-206.08,360
11,0,250,158.93,-207.07,366
12,0,250,164.09,-194.91,359
13,0,250,169.40,-183.60,353
14,0,250,174.84,-178.16,353
15,0,250,180.42,-174.58,355
16,0,250,186.13,-167.87,354
17,0,250,191.95,-159.05,351
18,0,250,197.89,-152.11,350
19,0,250,203.94,-143.06,347
20,0,250,210.09,-136.91,347
21,0,250,216.32,-130.68,347
22,0,250,222.65,-125.35,348
23,0,250,229.05,-115.95,345
24,0,250,235.53,-108.47,344
25,0,250,242.06,-101.94,344
26,0,250,248.66,-91.34,340
27,0,250,255.30,-87.70,343
28,0,250,261.98,-81.02,343
29,0,250,268.70,-73.30,342
30,0,250,275.44,-65.56,341
31,0,250,282.20,-55.80,338
32,0,250,288.97,-48.03,337
33,0,250,295.74,-39.26,335
34,0,250,302.51,-33.49,336
35,0,247,309.26,-24.74,334
36,0,170,315.99,-17.01,333
37,0,73,322.70,-7.30,330
38,33,0,329.36,3.36,326
39,109,0,335.99,10.99,325
40,195,0,342.56,19.56,323
41,240,0,349.07,24.07,325
42,250,0,355.52,25.52,330
43,250,0,361.89,35.89,326
44,250,0,368.18,45.18,323
45,250,0,374.38,47.38,327
46,250,0,380.49,44.49,336
47,250,0,386.49,50.49,336
48,250,0,392.39,59.39,333
49,250,0,398.17,60.17,338
50,250,0,403.82,65.82,338
51,250,0,409.35,71.35,338
52,250,0,414.74,73.74,341
53,250,0,419.99,78.99,341
54,250,0,425.09,86.09,339
55,250,0,430.04,87.04,343
56,250,0,434.82,91.82,343
57,250,0,439.45,98.45,341
58,250,0,443.90,98.90,345
59,250,0,448.18,101.18,347
60,250,0,452.27,105.27,347
61,250,0,456.19,110.19,346
62,250,0,459.91,111.91,348
63,250,0,463.44,115.44,348
64,250,0,466.77,113.77,353
65,250,0,469.90,119.90,350
66,250,0,472.82,120.82,352
67,250,0,475.54,122.54,353
68,250,0,478.04,123.04,355
69,250,0,480.33,120.33,360
70,250,0,482.41,126.41,356
71,250,0,484.26,124.26,360
72,250,0,485.89,125.89,360
73,250,0,487.30,126.30,361
74,250,0,488.49,126.49,362
75,250,0,489.44,125.44,364
76,250,0,490.17,127.17,363
77,250,0,490.67,125.67,365
78,250,0,490.95,117.95,373
79,250,0,490.99,121.99,369
80,250,0,490.80,120.80,370
81,250,0,490.39,118.39,372
82,250,0,489.74,116.74,373
83,250,0,488.87,114.87,374
84,250,0,487.77,111.77,376
85,250,0,486.45,110.45,376
86,250,0,484.90,106.90,378
87,250,0,483.13,107.13,376
88,250,0,481.14,104.14,377
89,250,0,478.93,97.93,381
90,250,0,476.50,95.50,381
91,250,0,473.87,92.87,381
92,250,0,471.02,90.02,381
93,250,0,467.97,85.97,382
94,250,0,464.71,78.71,386
95,250,0,461.26,74.26,387
96,250,0,457.60,69.60,388
97,250,0,453.76,63.76,390
98,250,0,449.74,55.74,394
99,250,0,445.52,54.52,391
100,250,0,441.14,51.14,390
101,250,0,436.58,39.58,397
102,250,0,431.85,35.85,396
103,250,0,426.96,36.96,390
104,239,0,421.92,23.92,398
105,167,0,416.73,16.73,400
106,123,0,411.39,12.39,399
107,19,0,405.91,1.91,404
108,0,16,400.30,-1.70,402
109,0,94,394.57,-9.43,404
110,0,172,388.72,-17.28,406
111,0,202,382.75,-20.25,403
112,0,243,376.69,-24.31,401
113,0,250,370.52,-34.48,405
114,0,250,364.26,-37.74,402
115,0,250,357.92,-44.08,402
116,0,250,351.50,-54.50,406
117,0,250,345.01,-54.99,400
118,0,250,338.46,-49.54,388
119,0,250,331.85,-63.15,395
120,0,250,325.20,-74.80,400
121,0,250,318.51,-81.49,400
122,0,250,311.79,-80.21,392
123,0,250,305.04,-83.96,389
124,0,250,298.28,-91.72,390
125,0,250,291.51,-95.49,387
126,0,250,284.74,-97.26,382
127,0,250,277.97,-105.03,383
128,0,250,271.22,-110.78,382
129,0,250,264.50,-115.50,380
130,0,250,257.80,-120.20,378
131,0,250,251.14,-127.86,379
132,0,250,244.53,-131.47,376
133,0,250,237.97,-140.03,378
134,0,250,231.47,-144.53,376
135,0,250,225.04,-151.96,377
136,0,250,218.69,-155.31,374
137,0,250,212.41,-163.59,376
138,0,250,206.23,-164.77,371
139,0,250,200.15,-171.85,372
140,0,250,194.17,-176.83,371
141,0,250,188.30,-180.70,369
142,0,250,182.55,-187.45,370
143,0,250,176.92,-192.08,369
144,0,250,171.42,-197.58,369
145,0,250,166.07,-195.93,362
146,0,250,160.85,-204.15,365
147,0,250,155.78,-206.22,362
148,0,250,150.87,-214.13,365
149,0,250,146.12,-213.88,360
150,0,250,141.54,-215.46,357
151,0,250,137.12,-220.88,358
152,0,250,132.88,-223.12,356
153,0,250,128.83,-230.17,359
154,0,250,124.96,-232.04,357
155,0,250,121.28,-231.72,353
156,0,250,117.79,-235.21,353
157,0,250,114.51,-238.49,353
158,0,250,111.42,-242.58,354
159,0,250,108.55,-243.45,352
160,0,250,105.88,-244.12,350
161,0,250,103.42,-245.58,349
162,0,250,101.18,-248.82,350
163,0,250,99.16,-248.84,348
164,0,250,97.35,-249.65,347
165,0,250,95.77,-251.23,347
166,0,250,94.41,-250.59,345
167,0,250,93.28,-253.72,347
168,0,250,92.37,-250.63,343
169,0,250,91.69,-250.31,342
170,0,250,91.25,-251.75,343
171,0,250,91.02,-249.98,341
172,0,250,91.03,-248.97,340
173,0,250,91.27,-249.73,341
174,0,250,91.74,-249.26,341
175,0,250,92.43,-246.57,339
176,0,250,93.36,-245.64,339
177,0,250,94.51,-244.49,339
178,0,250,95.88,-241.12,337
179,0,250,97.48,-239.52,337
180,0,250,99.30,-235.70,335
181,0,250,101.34,-230.66,332
182,0,250,103.60,-230.40,334
183,0,250,106.07,-227.93,334
184,0,250,108.76,-224.24,333
185,0,250,111.65,-221.35,333
186,0,250,114.75,-212.25,327
187,0,250,118.05,-210.95,329
188,0,250,121.55,-206.45,328
189,0,250,125.24,-196.76,322
190,0,250,129.13,-193.87,323
191,0,250,133.20,-188.80,322
192,0,250,137.45,-183.55,321
193,0,250,141.87,-178.13,320
194,0,250,146.47,-172.53,319
195,0,250,151.23,-165.77,317
196,0,250,156.16,-161.84,318
197,0,250,161.24,-155.76,317
198,0,250,166.46,-150.54,317
199,0,250,171.83,-145.17,317
200,0,250,177.34,-136.66,314
201,0,250,182.98,-133.02,316
202,0,250,188.74,-125.26,314
203,0,250,194.61,-119.39,314
204,0,250,200.60,-109.40,310
205,0,250,206.69,-102.31,309
206,0,250,212.88,-96.12,309
207,0,250,219.16,-88.84,308
208,0,250,225.52,-82.48,308
209,0,250,231.96,-77.04,309
210,0,250,238.46,-65.54,304
211,0,250,245.02,-62.98,308
212,0,250,251.64,-53.36,305
213,0,250,258.30,-44.70,303
214,0,250,265.00,-35.00,300
215,0,250,271.73,-25.27,297
216,0,205,278.48,-20.52,299
217,0,187,285.24,-18.76,304
218,0,39,292.02,-3.98,296
219,37,0,298.79,3.79,295
220,105,0,305.55,10.55,295
221,172,0,312.29,17.29,295
222,240,0,319.01,24.01,295
223,247,0,325.70,24.70,301
