-----NEW TEST-------
frequency:    0.555560 Hz
start time    72364 ms
stop time     90363 ms
Sample Prd    2 ms
Number Cylces 10 
N_sample,fluidInVoltage,fluidOutVoltage,pressureCommanded,pressureError,pressure
1,250,0,339.32,40.32,299
2,250,0,340.67,42.67,298
3,250,0,342.02,38.02,304
4,250,0,343.37,44.37,299
5,250,0,344.72,38.72,306
6,250,0,346.06,42.06,304
7,250,0,347.40,42.40,305
8,250,0,348.74,42.74,306
9,250,0,350.08,41.08,309
10,250,0,351.41,40.41,311
11,250,0,352.74,42.74,310
12,250,0,354.07,42.07,312
13,250,0,355.39,40.39,315
14,250,0,356.71,39.71,317
15,250,0,358.03,41.03,317
16,250,0,359.34,41.34,318
17,250,0,360.65,39.65,321
18,250,0,361.96,41.96,320
19,250,0,363.26,40.26,323
20,250,0,364.56,41.56,323
21,250,0,365.86,39.86,326
22,250,0,367.15,35.15,332
23,250,0,368.44,35.44,333
24,250,0,369.73,42.73,327
25,250,0,371.01,37.01,334
26,250,0,372.29,36.29,336
27,250,0,373.56,40.56,333
28,250,0,374.83,36.83,338
29,250,0,376.10,39.10,337
30,250,0,377.36,36.36,341
31,250,0,378.62,37.62,341
32,250,0,379.87,38.87,341
33,250,0,381.12,39.12,342
34,250,0,382.36,41.36,341
35,250,0,383.60,39.60,344
36,250,0,384.84,39.84,345
37,250,0,386.07,40.07,346
38,250,0,387.29,38.29,349
39,250,0,388.52,40.52,348
40,250,0,389.73,44.73,345
41,250,0,390.94,43.94,347
42,250,0,392.15,40.15,352
43,250,0,393.35,41.35,352
44,250,0,394.55,41.55,353
45,250,0,395.74,43.74,352
46,250,0,396.93,41.93,355
47,250,0,398.11,41.11,357
48,250,0,399.29,40.29,359
49,250,0,400.46,40.46,360
50,250,0,401.63,41.63,360
51,250,0,402.79,42.79,360
52,250,0,403.94,37.94,366
53,250,0,405.09,36.09,369
54,250,0,406.23,37.23,369
55,250,0,407.37,40.37,367
56,250,0,408.51,37.51,371
57,250,0,409.63,39.63,370
58,250,0,410.75,39.75,371
59,250,0,411.87,36.87,375
60,250,0,412.98,37.98,375
61,250,0,414.08,37.08,377
62,250,0,415.18,40.18,375
63,250,0,416.27,40.27,376
64,250,0,417.36,39.36,378
65,250,0,418.44,40.44,378
66,250,0,419.51,38.51,381
67,250,0,420.58,37.58,383
68,250,0,421.64,40.64,381
69,250,0,422.69,41.69,381
70,250,0,423.74,39.74,384
71,250,0,424.78,39.78,385
72,250,0,425.82,35.82,390
73,250,0,426.84,38.84,388
74,250,0,427.86,37.86,390
75,250,0,428.88,36.88,392
76,250,0,429.89,34.89,395
77,250,0,430.89,39.89,391
78,250,0,431.88,35.88,396
79,250,0,432.87,36.87,396
80,250,0,433.85,34.85,399
81,250,0,434.83,34.83,400
82,250,0,435.79,36.79,399
83,250,0,436.75,34.75,402
84,250,0,437.70,35.70,402
85,250,0,438.65,35.65,403
86,250,0,439.59,36.59,403
87,250,0,440.52,37.52,403
88,250,0,441.44,37.44,404
89,250,0,442.36,39.36,403
90,250,0,443.27,34.27,409
91,250,0,444.17,37.17,407
92,250,0,445.06,36.06,409
93,250,0,445.95,41.95,404
94,250,0,446.83,40.83,406
95,250,0,447.70,36.70,411
96,250,0,448.57,40.57,408
97,250,0,449.42,39.42,410
98,250,0,450.27,38.27,412
99,250,0,451.11,40.11,411
100,250,0,451.94,40.94,411
101,250,0,452.77,39.77,413
102,250,0,453.59,38.59,415
103,250,0,454.39,41.39,413
104,250,0,455.20,41.20,414
105,250,0,455.99,37.99,418
