-----NEW TEST-------
frequency:    3.000000 Hz
start time    144172 ms
stop time     147505 ms
Sample Prd    2 ms
Number Cylces 10 
N_sample,fluidInVoltage,fluidOutVoltage,pressureCommanded,pressureError,pressure
1,0,250,118.94,-217.06,336
2,0,250,115.22,-219.78,335
3,0,250,111.75,-221.25,333
4,0,250,108.53,-221.47,330
5,0,250,105.57,-227.43,333
6,0,250,102.88,-229.12,332
7,0,250,100.45,-233.55,334
8,0,250,98.30,-226.70,325
9,0,250,96.42,-226.58,323
10,0,250,94.81,-226.19,321
11,0,250,93.49,-228.51,322
12,0,250,92.44,-226.56,319
13,0,250,91.68,-228.32,320
14,0,250,91.20,-228.80,320
15,0,250,91.00,-224.99,316
16,0,250,91.09,-226.91,318
17,0,250,91.47,-224.53,316
18,0,250,92.12,-222.88,315
19,0,250,93.06,-219.94,313
20,0,250,94.28,-219.72,314
21,0,250,95.78,-217.22,313
22,0,250,97.56,-212.44,310
23,0,250,99.61,-207.39,307
24,0,250,101.94,-210.06,312
25,0,250,104.53,-202.47,307
26,0,250,107.39,-200.61,308
27,0,250,110.51,-195.49,306
28,0,250,113.89,-190.11,304
29,0,250,117.51,-185.49,303
30,0,250,121.39,-182.61,304
31,0,250,125.50,-177.50,303
32,0,250,129.85,-167.15,297
33,0,250,134.43,-167.57,302
34,0,250,139.23,-157.77,297
35,0,250,144.25,-151.75,296
36,0,250,149.48,-145.52,295
37,0,250,154.91,-139.09,294
38,0,250,160.53,-131.47,292
39,0,250,166.33,-128.67,295
40,0,250,172.32,-117.68,290
41,0,250,178.47,-111.53,290
42,0,250,184.78,-107.22,292
43,0,250,191.25,-97.75,289
44,0,250,197.85,-91.15,289
45,0,250,204.59,-82.41,287
46,0,250,211.45,-74.55,286
47,0,250,218.42,-69.58,288
48,0,250,225.50,-57.50,283
49,0,250,232.67,-51.33,284
50,0,250,239.92,-44.08,284
51,0,250,247.24,-36.76,284
52,0,250,254.63,-29.37,284
53,0,219,262.07,-21.93,284
54,0,124,269.55,-12.45,282
55,0,49,277.06,-4.94,282
56,25,0,284.59,2.59,282
57,131,0,292.13,13.13,279
58,206,0,299.67,20.67,279
59,221,0,307.19,22.19,285
60,250,0,314.70,30.70,284
61,250,0,322.17,41.17,281
62,250,0,329.59,50.59,279
63,250,0,336.96,51.96,285
64,250,0,344.26,57.26,287
65,250,0,351.49,65.49,286
66,250,0,358.64,72.64,286
67,250,0,365.68,78.68,287
68,250,0,372.62,77.62,295
69,250,0,379.45,88.45,291
70,250,0,386.15,92.15,294
71,250,0,392.71,95.71,297
72,250,0,399.13,102.13,297
73,250,0,405.39,99.39,306
74,250,0,411.50,107.50,304
75,250,0,417.43,110.43,307
76,250,0,423.18,118.18,305
77,250,0,428.74,117.74,311
78,250,0,434.11,123.11,311
79,250,0,439.28,126.28,313
80,250,0,444.23,128.23,316
81,250,0,448.97,132.97,316
82,250,0,453.48,136.48,317
83,250,0,457.76,139.76,318
84,250,0,461.80,143.80,318
85,250,0,465.60,144.60,321
86,250,0,469.15,147.15,322
87,250,0,472.45,149.45,323
88,250,0,475.50,146.50,329
89,250,0,478.27,147.27,331
90,250,0,480.79,148.79,332
91,250,0,483.03,146.03,337
92,250,0,485.00,151.00,334
93,250,0,486.70,149.70,337
94,250,0,488.11,149.11,339
95,250,0,489.25,152.25,337
96,250,0,490.10,150.10,340
97,250,0,490.67,149.67,341
98,250,0,490.96,148.96,342
99,250,0,490.97,147.97,343
100,250,0,490.69,146.69,344
101,250,0,490.12,144.12,346
102,250,0,489.27,144.27,345
103,250,0,488.14,141.14,347
